feature,importance
zcr_mean,0.3215224580447315
chroma_mean,0.22551373987605902
signal_std,0.09271656210163999
bitrate,0.07793037808179971
onset_count,0.07735145695377686
duration_seconds,0.0724359028514953
mfcc_0_mean,0.027549028810653145
mfcc_4_mean,0.02393399551465151
spectral_centroid_mean,0.021958383498105482
tempogram_ratio,0.01926913842203377
chroma_9_std,0.013488396895423641
mfcc_7_mean,0.008828768877004562
chroma_8_mean,0.008810424934518965
chroma_0_std,0.008691365138106562
file_size_mb,0.0
path_depth,0.0
zcr_std,0.0
song_keyword_count,0.0
filename_length,0.0
spectral_rolloff_std,0.0
spectral_rolloff_mean,0.0
spectral_contrast_std,0.0
spectral_contrast_mean,0.0
mfcc_1_mean,0.0
mfcc_1_std,0.0
mfcc_2_mean,0.0
stem_keyword_count,0.0
rms_std,0.0
silence_ratio,0.0
dynamic_range,0.0
spectral_centroid_std,0.0
spectral_bandwidth_mean,0.0
spectral_bandwidth_std,0.0
rms_mean,0.0
sample_keyword_count,0.0
mfcc_6_std,0.0
mfcc_6_mean,0.0
mfcc_5_std,0.0
mfcc_5_mean,0.0
mfcc_4_std,0.0
mfcc_3_std,0.0
mfcc_3_mean,0.0
mfcc_2_std,0.0
mfcc_0_std,0.0
mfcc_10_std,0.0
mfcc_12_mean,0.0
mfcc_11_mean,0.0
mfcc_9_mean,0.0
mfcc_9_std,0.0
mfcc_8_mean,0.0
mfcc_7_std,0.0
beat_count,0.0
tempo,0.0
beat_interval_mean,0.0
beat_regularity,0.0
beat_interval_std,0.0
chroma_0_mean,0.0
chroma_1_mean,0.0
chroma_1_std,0.0
chroma_2_mean,0.0
chroma_2_std,0.0
chroma_3_mean,0.0
mfcc_11_std,0.0
mfcc_12_std,0.0
onset_density,0.0
mfcc_10_mean,0.0
mfcc_8_std,0.0
chroma_5_std,0.0
chroma_5_mean,0.0
chroma_4_std,0.0
chroma_4_mean,0.0
chroma_3_std,0.0
chroma_7_mean,0.0
chroma_7_std,0.0
chroma_6_mean,0.0
chroma_9_mean,0.0
chroma_10_mean,0.0
chroma_11_mean,0.0
chroma_10_std,0.0
chroma_11_std,0.0
chroma_std,0.0
chroma_8_std,0.0
chroma_6_std,0.0
percussive_ratio,0.0
harmonic_ratio,0.0
tonnetz_std,0.0
tonnetz_mean,0.0
signal_skewness,0.0
signal_kurtosis,0.0
signal_25_percentile,0.0
signal_mean,0.0
signal_50_percentile,0.0
signal_75_percentile,0.0
crest_factor,0.0
signal_95_percentile,0.0
spectral_flatness,0.0
metadata_completeness,0.0
sample_rate,0.0
metadata_duration,0.0
